mes,dia,hora,temperatura,humedad,viento,alquiladas
1,0,9,0.12,0.46,0.5224,19
1,0,10,0.14,0.43,0.3881,49
1,0,11,0.16,0.4,0.5224,49
1,0,12,0.18,0.37,0.4478,83
1,0,13,0.2,0.34,0.4478,75
1,0,14,0.22,0.32,0.4627,72
1,0,15,0.22,0.35,0.3582,82
1,0,16,0.2,0.34,0.4478,92
1,0,17,0.18,0.37,0.3881,62
1,0,18,0.16,0.4,0.3284,48
1,0,19,0.16,0.43,0.3284,41
1,0,20,0.14,0.46,0.2537,38
1,0,21,0.14,0.46,0.4179,20
1,0,22,0.14,0.46,0.2985,15
1,0,23,0.12,0.5,0.19399999999999998,6
1,1,0,0.12,0.5,0.2836,5
1,1,1,0.12,0.5,0.2836,1
1,1,2,0.12,0.5,0.2239,3
1,1,3,0.12,0.5,0.2239,1
1,1,4,0.1,0.54,0.1343,3
1,1,5,0.1,0.54,0.2537,3
1,1,6,0.12,0.5,0.2836,31
1,1,7,0.12,0.5,0.2239,77
1,1,8,0.12,0.5,0.2836,188
1,1,9,0.14,0.5,0.2537,94
1,1,10,0.14,0.5,0.2985,31
1,1,11,0.16,0.47,0.2836,30
1,1,12,0.2,0.4,0.2836,52
1,1,13,0.2,0.4,0.2836,54
1,1,14,0.2,0.4,0.2239,47
1,1,15,0.2,0.4,0.2239,45
1,1,16,0.2,0.4,0.1343,74
1,1,17,0.2,0.4,0.1045,178
1,1,18,0.2,0.4,0.2239,155
1,1,19,0.16,0.47,0.1642,95
1,1,20,0.16,0.5,0.1642,74
1,1,21,0.14,0.59,0.19399999999999998,38
1,1,22,0.14,0.59,0.1642,24
1,1,23,0.14,0.59,0.1642,18
1,2,0,0.14,0.59,0.1045,12
1,2,1,0.14,0.59,0.1642,3
1,2,2,0.16,0.55,0.19399999999999998,3
1,2,5,0.16,0.55,0.1343,6
1,2,6,0.16,0.55,0.1343,27
1,2,7,0.16,0.55,0.0,99
1,2,8,0.18,0.51,0.0896,217
1,2,9,0.18,0.51,0.1642,130
1,2,10,0.2,0.51,0.1642,54
1,2,11,0.2,0.47,0.1343,35
1,2,12,0.2,0.51,0.1045,57
1,2,13,0.2,0.59,0.0896,52
1,2,14,0.2,0.59,0.0896,63
1,2,15,0.16,0.8,0.0896,47
1,2,16,0.16,0.86,0.2239,76
1,2,17,0.16,0.86,0.2239,136
1,2,18,0.16,0.93,0.1045,95
1,2,19,0.16,0.93,0.0,51
1,2,20,0.16,0.93,0.19399999999999998,32
1,2,21,0.16,0.86,0.0896,20
1,2,22,0.16,0.93,0.1045,29
1,2,23,0.16,0.93,0.0896,19
1,3,0,0.16,0.86,0.0896,7
1,3,1,0.16,0.86,0.1045,6
1,3,2,0.14,0.86,0.1343,1
1,3,5,0.14,0.86,0.1642,5
1,3,6,0.12,0.93,0.1343,16
1,3,7,0.14,0.69,0.1343,54
1,3,8,0.16,0.59,0.1642,128
1,3,9,0.16,0.59,0.3284,81
1,3,10,0.18,0.55,0.2239,39
1,3,11,0.2,0.51,0.3881,35
1,3,12,0.2,0.47,0.5821,55
1,3,13,0.22,0.44,0.3582,49
1,3,14,0.2,0.47,0.3284,44
1,3,15,0.2,0.47,0.4179,49
1,3,16,0.22,0.44,0.3284,68
1,3,17,0.2,0.47,0.3582,139
1,3,18,0.2,0.47,0.5224,137
1,3,19,0.18,0.47,0.4179,83
1,3,20,0.16,0.5,0.3284,56
1,3,21,0.16,0.55,0.3284,57
1,3,22,0.16,0.55,0.4478,33
1,3,23,0.14,0.59,0.4179,20
1,4,0,0.14,0.59,0.2836,7
1,4,1,0.14,0.5,0.2836,2
1,4,2,0.14,0.5,0.3582,2
1,4,3,0.14,0.5,0.3284,3
1,4,4,0.14,0.5,0.2537,4
1,4,5,0.14,0.5,0.2985,3
1,4,6,0.12,0.54,0.1343,28
1,4,7,0.12,0.54,0.1343,72
1,4,8,0.14,0.5,0.19399999999999998,202
1,4,9,0.14,0.5,0.3284,139
1,4,10,0.16,0.5,0.3582,38
1,4,11,0.2,0.44,0.4478,37
1,4,12,0.2,0.44,0.4179,52
1,4,13,0.22,0.41,0.4478,83
1,4,14,0.22,0.41,0.3881,42
1,4,15,0.24,0.38,0.2985,60
1,4,16,0.24,0.38,0.3582,78
1,4,17,0.2,0.4,0.2836,162
1,4,18,0.2,0.4,0.3284,144
1,4,19,0.16,0.47,0.2537,99
1,4,20,0.16,0.47,0.2239,64
1,4,21,0.14,0.46,0.2985,40
1,4,22,0.14,0.46,0.3284,30
1,4,23,0.12,0.5,0.19399999999999998,15
1,5,0,0.12,0.5,0.19399999999999998,14
1,5,1,0.1,0.54,0.1642,5
1,5,2,0.1,0.54,0.1343,1
1,5,3,0.1,0.54,0.1045,1
1,5,5,0.1,0.54,0.0896,8
1,5,6,0.1,0.54,0.0,17
1,5,7,0.1,0.74,0.1642,70
1,5,8,0.12,0.68,0.0,158
1,5,9,0.14,0.69,0.1343,117
1,5,10,0.18,0.55,0.19399999999999998,44
1,5,11,0.18,0.51,0.2836,53
1,5,12,0.2,0.44,0.2537,61
1,5,13,0.22,0.37,0.3881,77
1,5,14,0.22,0.41,0.2836,64
1,5,15,0.24,0.38,0.1642,68
1,5,16,0.22,0.41,0.1045,90
1,5,17,0.22,0.41,0.1642,159
1,5,18,0.2,0.47,0.0,139
1,5,19,0.16,0.59,0.0896,92
1,5,20,0.18,0.59,0.0,68
1,5,21,0.16,0.69,0.0,52
1,5,22,0.16,0.69,0.0,36
1,5,23,0.18,0.55,0.0,27
1,6,0,0.18,0.55,0.0,28
1,6,1,0.16,0.59,0.0896,20
1,6,2,0.16,0.59,0.0896,12
1,6,3,0.16,0.59,0.0,8
1,6,4,0.16,0.59,0.0,5
1,6,5,0.16,0.59,0.0,1
1,6,6,0.14,0.63,0.1045,3
1,6,7,0.14,0.63,0.0,10
1,6,8,0.14,0.63,0.1343,23
1,6,9,0.16,0.64,0.1343,33
1,6,10,0.18,0.59,0.1642,59
1,6,11,0.2,0.55,0.2239,72
1,6,12,0.24,0.48,0.2239,89
1,6,13,0.28,0.38,0.2985,101
1,6,14,0.3,0.39,0.2836,118
1,6,15,0.32,0.36,0.19399999999999998,129
1,6,16,0.34,0.34,0.19399999999999998,128
1,6,17,0.32,0.36,0.2836,83
1,6,18,0.3,0.45,0.2537,84
1,6,19,0.32,0.39,0.2537,74
1,6,20,0.32,0.39,0.2537,41
1,6,21,0.32,0.39,0.2239,57
1,6,22,0.3,0.42,0.1045,26
1,6,23,0.3,0.45,0.2836,44
1,0,0,0.26,0.56,0.0,39
1,0,1,0.26,0.56,0.1343,23
1,0,2,0.26,0.56,0.0896,16
1,0,3,0.22,0.69,0.0,15
1,0,4,0.26,0.56,0.1642,1
1,0,5,0.26,0.56,0.1642,2
1,0,6,0.26,0.56,0.1642,1
1,0,7,0.24,0.56,0.2985,3
1,0,8,0.22,0.55,0.2836,18
1,0,9,0.22,0.51,0.2537,32
1,0,10,0.22,0.51,0.2836,79
1,0,11,0.24,0.44,0.2537,93
1,0,12,0.24,0.41,0.2836,104
1,0,13,0.26,0.35,0.2985,118
1,0,14,0.28,0.36,0.2537,91
1,0,15,0.26,0.38,0.2537,113
1,0,16,0.24,0.38,0.2239,99
1,0,17,0.22,0.37,0.2537,105
1,0,18,0.2,0.4,0.1642,67
1,0,19,0.18,0.47,0.1343,61
1,0,20,0.18,0.47,0.1642,57
1,0,21,0.18,0.51,0.1642,28
1,0,22,0.2,0.49,0.1343,21
1,0,23,0.2,0.4,0.1045,18
1,1,0,0.2,0.47,0.2239,17
1,1,1,0.2,0.44,0.19399999999999998,16
1,1,2,0.18,0.43,0.2537,8
1,1,3,0.18,0.43,0.19399999999999998,2
1,1,4,0.18,0.43,0.1343,3
1,1,5,0.18,0.43,0.1642,1
1,1,6,0.18,0.43,0.19399999999999998,5
1,1,7,0.16,0.5,0.1343,13
1,1,8,0.16,0.47,0.2239,33
1,1,9,0.16,0.47,0.2239,47
1,1,10,0.16,0.5,0.2537,57
1,1,11,0.16,0.55,0.19399999999999998,64
1,1,12,0.18,0.47,0.1343,80
1,1,13,0.18,0.47,0.1343,93
1,1,14,0.18,0.43,0.1045,86
1,1,15,0.2,0.47,0.1642,93
1,1,16,0.2,0.47,0.1642,82
1,1,17,0.2,0.51,0.19399999999999998,71
1,1,18,0.18,0.55,0.2537,92
1,1,19,0.18,0.59,0.19399999999999998,60
1,1,20,0.16,0.8,0.19399999999999998,33
1,1,21,0.16,0.8,0.19399999999999998,27
1,1,22,0.14,0.93,0.2537,13
1,1,23,0.16,0.86,0.2836,4
1,2,12,0.2,0.86,0.3284,3
1,2,13,0.2,0.86,0.2239,22
1,2,14,0.22,0.8,0.1642,28
1,2,15,0.22,0.87,0.1642,35
1,2,16,0.22,0.87,0.19399999999999998,61
1,2,17,0.22,0.82,0.19399999999999998,125
1,2,18,0.22,0.8,0.1642,133
1,2,19,0.22,0.8,0.1343,99
1,2,20,0.22,0.87,0.0,83
1,2,21,0.22,0.93,0.1045,41
1,2,22,0.22,0.93,0.0896,33
1,2,23,0.22,0.93,0.0,20
1,3,0,0.22,0.93,0.0,3
1,3,1,0.22,0.93,0.1343,7
1,3,2,0.22,0.93,0.1343,3
1,3,4,0.22,0.93,0.1343,2
1,3,5,0.22,0.93,0.0896,7
1,3,6,0.22,0.93,0.0896,32
1,3,7,0.24,0.92,0.1045,90
1,3,8,0.24,0.93,0.1045,197
1,3,9,0.24,0.93,0.1045,109
1,3,10,0.26,0.93,0.1343,47
1,3,11,0.28,0.87,0.0896,52
1,3,12,0.3,0.81,0.0896,70
1,3,13,0.4,0.62,0.2836,78
1,3,14,0.4,0.58,0.2537,75
1,3,15,0.4,0.54,0.2836,82
1,3,16,0.38,0.58,0.3881,104
1,3,17,0.36,0.57,0.3284,197
1,3,18,0.34,0.61,0.2836,161
1,3,19,0.32,0.57,0.4179,112
1,3,20,0.32,0.49,0.2985,76
1,3,21,0.32,0.49,0.4179,59
1,3,22,0.3,0.52,0.1642,59
1,3,23,0.3,0.52,0.4627,28
1,4,0,0.26,0.56,0.3881,13
1,4,1,0.26,0.56,0.0,5
1,4,2,0.26,0.56,0.0,2
1,4,3,0.26,0.56,0.1642,1
1,4,4,0.26,0.56,0.1642,1
1,4,5,0.24,0.6,0.2239,6
1,4,6,0.22,0.6,0.2239,35
1,4,7,0.22,0.55,0.2239,101
1,4,8,0.22,0.55,0.2836,249
1,4,9,0.24,0.52,0.2239,143
1,4,10,0.26,0.48,0.2985,57
1,4,11,0.28,0.45,0.1642,68
1,4,12,0.3,0.42,0.0,84
1,4,13,0.28,0.45,0.1045,98
1,4,14,0.3,0.45,0.1343,81
1,4,15,0.32,0.45,0.19399999999999998,70
1,4,16,0.3,0.49,0.1343,91
1,4,17,0.3,0.49,0.1045,215
1,4,18,0.26,0.56,0.19399999999999998,185
1,4,19,0.26,0.56,0.3284,152
1,4,20,0.26,0.6,0.2836,126
1,4,21,0.24,0.6,0.2537,57
1,4,22,0.24,0.65,0.2836,56
1,4,23,0.24,0.65,0.3284,31
1,5,0,0.24,0.7,0.2537,21
1,5,1,0.24,0.7,0.2537,6
1,5,2,0.24,0.75,0.1642,2
1,5,3,0.22,0.8,0.2985,1
1,5,4,0.22,0.87,0.0896,1
1,5,5,0.24,0.6,0.4179,5
1,5,6,0.22,0.55,0.2537,27
1,5,7,0.2,0.51,0.2836,68
1,5,8,0.2,0.47,0.3284,217
1,5,9,0.2,0.51,0.3582,166
1,5,10,0.2,0.47,0.4627,63
1,5,11,0.22,0.41,0.4627,59
1,5,12,0.22,0.27,0.5821,78
1,5,13,0.2,0.21,0.5821,73
1,5,14,0.2,0.25,0.5224,62
1,5,15,0.16,0.26,0.4478,65
1,5,16,0.16,0.26,0.3582,97
1,5,17,0.14,0.28,0.3582,161
1,5,18,0.12,0.3,0.2537,120
1,5,19,0.12,0.3,0.3284,96
1,5,20,0.1,0.33,0.4179,53
1,5,21,0.08,0.38,0.2836,41
1,5,22,0.06,0.41,0.3881,34
1,5,23,0.06,0.38,0.3284,27
1,6,0,0.04,0.45,0.2537,13
1,6,1,0.04,0.41,0.3881,12
1,6,2,0.04,0.41,0.2537,11
1,6,3,0.04,0.41,0.2836,7
1,6,4,0.02,0.48,0.2985,3
1,6,6,0.02,0.44,0.2239,2
1,6,7,0.02,0.44,0.2836,8
1,6,8,0.02,0.44,0.3284,27
1,6,9,0.04,0.41,0.2537,40
1,6,10,0.04,0.41,0.1642,53
1,6,11,0.06,0.38,0.1343,63
1,6,12,0.06,0.38,0.1045,70
1,6,13,0.08,0.35,0.0,84
1,6,14,0.1,0.33,0.1045,75
1,6,15,0.12,0.28,0.0,103
1,6,16,0.12,0.28,0.19399999999999998,83
1,6,17,0.12,0.28,0.0,67
1,6,18,0.08,0.35,0.19399999999999998,54
1,6,19,0.08,0.35,0.1343,59
1,6,20,0.06,0.45,0.1642,45
1,6,21,0.06,0.41,0.0896,39
1,6,22,0.06,0.49,0.0,30
1,6,23,0.04,0.57,0.1045,33
1,0,0,0.04,0.57,0.1045,22
1,0,1,0.04,0.57,0.1045,13
1,0,2,0.02,0.62,0.1343,18
1,0,3,0.02,0.62,0.1343,5
1,0,5,0.04,0.57,0.1045,3
1,0,6,0.04,0.57,0.1045,1
1,0,7,0.08,0.58,0.1642,2
1,0,8,0.06,0.62,0.1642,19
1,0,9,0.1,0.54,0.3582,28
1,0,10,0.14,0.46,0.3881,58
1,0,11,0.14,0.43,0.2239,99
1,0,12,0.16,0.37,0.4627,116
1,0,13,0.14,0.33,0.3881,87
1,0,14,0.16,0.28,0.3582,110
1,0,15,0.16,0.28,0.3582,77
1,0,16,0.16,0.26,0.3284,65
1,0,17,0.14,0.26,0.3881,55
1,0,18,0.12,0.3,0.2537,49
1,0,19,0.12,0.3,0.2836,50
1,0,20,0.1,0.36,0.2537,35
1,0,21,0.1,0.36,0.19399999999999998,25
1,0,22,0.08,0.38,0.19399999999999998,28
1,0,23,0.06,0.41,0.2239,21
1,1,0,0.06,0.41,0.19399999999999998,7
1,1,1,0.04,0.45,0.19399999999999998,1
1,1,3,0.04,0.45,0.2537,1
1,1,4,0.02,0.48,0.1343,1
1,1,5,0.02,0.48,0.1343,5
1,1,6,0.02,0.48,0.0896,15
1,1,7,0.02,0.48,0.0,84
1,1,8,0.04,0.49,0.0,177
1,1,9,0.06,0.41,0.0,102
1,1,10,0.1,0.42,0.0,40
1,1,11,0.1,0.46,0.1343,46
1,1,12,0.12,0.42,0.19399999999999998,63
1,1,13,0.14,0.43,0.2239,60
1,1,14,0.14,0.46,0.2239,45
1,1,15,0.16,0.4,0.1642,57
1,1,16,0.16,0.47,0.2537,70
1,1,17,0.14,0.5,0.2537,184
1,1,18,0.14,0.59,0.19399999999999998,153
1,1,19,0.14,0.54,0.1642,106
1,1,20,0.14,0.59,0.19399999999999998,81
1,1,21,0.14,0.63,0.1642,59
1,1,22,0.14,0.63,0.2239,35
1,1,23,0.16,0.64,0.2537,24
1,2,0,0.16,0.69,0.2836,9
1,2,1,0.16,0.69,0.1642,5
1,2,2,0.16,0.69,0.2239,2
1,2,4,0.14,0.74,0.1045,1
1,2,5,0.14,0.74,0.2239,9
1,2,6,0.16,0.74,0.1045,36
1,2,7,0.16,0.74,0.2239,108
1,2,8,0.16,0.74,0.1343,238
1,2,9,0.2,0.64,0.0896,144
1,2,10,0.22,0.6,0.1045,55
1,2,11,0.24,0.6,0.1343,61
1,2,12,0.26,0.56,0.0896,106
1,2,13,0.26,0.56,0.1343,93
1,2,14,0.3,0.45,0.0,68
1,2,15,0.32,0.42,0.0,84
1,2,16,0.32,0.42,0.0,116
1,2,17,0.3,0.45,0.0,222
1,2,18,0.3,0.49,0.0896,225
1,2,19,0.26,0.65,0.1642,146
1,2,20,0.24,0.65,0.19399999999999998,119
1,2,21,0.24,0.65,0.19399999999999998,45
1,2,22,0.22,0.64,0.1642,53
1,2,23,0.22,0.64,0.1642,40
1,3,0,0.22,0.69,0.1343,17
1,3,1,0.24,0.65,0.1343,5
1,3,2,0.22,0.69,0.19399999999999998,10
1,3,5,0.2,0.86,0.2836,1
1,3,6,0.2,0.86,0.2836,8
1,3,7,0.22,0.87,0.2985,30
1,3,8,0.22,0.87,0.2985,72
1,3,9,0.22,0.87,0.2985,58
1,3,10,0.22,0.93,0.2836,28
1,3,11,0.22,0.93,0.3284,41
1,3,12,0.22,0.93,0.3284,48
1,3,13,0.22,0.93,0.3284,47
1,3,14,0.22,0.93,0.3582,36
1,3,15,0.22,0.93,0.4627,43
1,3,16,0.22,0.93,0.3284,36
1,3,17,0.2,0.93,0.3582,26
1,4,16,0.22,0.55,0.19399999999999998,24
1,4,17,0.22,0.55,0.1045,84
1,4,18,0.2,0.69,0.0896,104
1,4,19,0.2,0.69,0.0896,79
1,4,20,0.18,0.74,0.0896,59
1,4,21,0.18,0.74,0.0896,38
1,4,22,0.18,0.74,0.0896,27
1,4,23,0.18,0.8,0.1642,16
1,5,0,0.2,0.75,0.1343,9
1,5,1,0.2,0.75,0.1343,3
1,5,2,0.2,0.75,0.1642,2
1,5,3,0.2,0.75,0.1045,1
1,5,5,0.18,0.8,0.1045,4
1,5,6,0.18,0.8,0.1343,16
1,5,7,0.16,0.86,0.0896,60
1,5,8,0.16,0.86,0.0896,157
1,5,9,0.18,0.86,0.0896,101
1,5,10,0.18,0.86,0.1045,49
1,5,11,0.18,0.93,0.1045,30
1,5,12,0.18,0.93,0.1045,29
1,5,13,0.18,0.93,0.1045,31
1,5,14,0.22,0.8,0.0,38
1,5,15,0.2,0.86,0.0,41
1,5,16,0.22,0.8,0.0,80
1,5,17,0.24,0.75,0.1343,149
1,5,18,0.24,0.75,0.19399999999999998,109
1,5,19,0.24,0.75,0.1343,89
1,5,20,0.24,0.7,0.19399999999999998,62
1,5,21,0.22,0.75,0.1343,58
1,5,22,0.24,0.65,0.3582,26
1,5,23,0.24,0.6,0.2239,23
1,6,0,0.22,0.64,0.3582,28
1,6,1,0.22,0.64,0.19399999999999998,20
1,6,2,0.22,0.64,0.1642,15
1,6,3,0.2,0.64,0.1343,8
1,6,4,0.16,0.69,0.1045,3
1,6,6,0.16,0.64,0.1343,2
1,6,7,0.16,0.59,0.1045,5
1,6,8,0.18,0.55,0.1642,34
1,6,9,0.18,0.59,0.0896,34
1,6,10,0.18,0.64,0.1045,55
1,6,11,0.18,0.64,0.1343,64
1,6,12,0.2,0.59,0.19399999999999998,78
1,6,13,0.22,0.55,0.1642,65
1,6,14,0.22,0.6,0.1343,99
1,6,15,0.22,0.69,0.2537,120
1,6,16,0.24,0.6,0.1642,107
1,6,17,0.24,0.6,0.0,91
1,6,18,0.22,0.69,0.1343,68
1,6,19,0.22,0.69,0.2537,58
1,6,20,0.18,0.74,0.0896,43
1,6,21,0.18,0.74,0.0896,36
1,6,22,0.16,0.8,0.0896,32
1,6,23,0.16,0.8,0.0896,33
1,0,0,0.16,0.8,0.1045,33
1,0,1,0.14,0.8,0.0,29
1,0,2,0.16,0.8,0.0,11
1,0,3,0.14,0.93,0.0,8
1,0,4,0.14,0.93,0.0,1
1,0,5,0.14,0.86,0.0,3
1,0,7,0.14,0.86,0.0,3
1,0,8,0.14,0.86,0.0,12
1,0,9,0.16,0.8,0.0,38
1,0,10,0.18,0.8,0.0,64
1,0,11,0.22,0.75,0.0,59
1,0,12,0.3,0.52,0.1045,97
1,0,13,0.28,0.61,0.1045,84
1,0,14,0.28,0.61,0.0896,122
1,0,15,0.3,0.56,0.0,109
